Interval,Start Year,End Year,Phenomenon Name,Papers Studying Phenomenon,Total Unique Phenomena in Interval,Total Papers in Interval
2010-2014,2010,2014,Rank Friction,1,269,149
2010-2014,2010,2014,Persistence In Firm Profitability,1,269,149
2010-2014,2010,2014,CEO Power,1,269,149
2010-2014,2010,2014,Board Capital,1,269,149
2010-2014,2010,2014,Impact Of CEO Personality On Firm'S Strategic Choices,1,269,149
2015-2019,2015,2019,Firm Performance,11,361,159
2015-2019,2015,2019,Pay Dispersion,3,361,159
2015-2019,2015,2019,Strategic Change,2,361,159
2015-2019,2015,2019,Corporate Social Responsibility (CSR),2,361,159
2015-2019,2015,2019,CEO Compensation,2,361,159
2015-2019,2015,2019,Firm Performance Variation,2,361,159
2015-2019,2015,2019,Employee Mobility,2,361,159
2015-2019,2015,2019,Strategic Alliance Formation,2,361,159
2015-2019,2015,2019,Managers' Personal Political Orientation,1,361,159
2015-2019,2015,2019,Alliance Success,1,361,159
2015-2019,2015,2019,Corporate Tax Avoidance,1,361,159
2015-2019,2015,2019,Use Of Codified Knowledge In Alliance Phases,1,361,159
2015-2019,2015,2019,Executive Succession,1,361,159
2015-2019,2015,2019,Competitive-Cooperative Modes,1,361,159
2015-2019,2015,2019,Post-Ceo Succession Performance,1,361,159
2015-2019,2015,2019,Temporal Changes In Ownership Distribution,1,361,159
2015-2019,2015,2019,CEO Succession In Family Firms,1,361,159
2015-2019,2015,2019,Ownership Effect On Firm Performance,1,361,159
2015-2019,2015,2019,Transition From Family To Professional Management,1,361,159
2015-2019,2015,2019,Regional Differences In Ownership Effects,1,361,159
