Interval,Start Year,End Year,Phenomenon Name,Papers Studying Phenomenon,Total Unique Phenomena in Interval,Total Papers in Interval
1990-1994,1990,1994,Supplier Relations And Management,1,50,85
1990-1994,1990,1994,Quality (Defects),1,50,85
1990-1994,1990,1994,"Prices (Meeting Targets, Reducing Prices Over Time)",1,50,85
1990-1994,1990,1994,Transferability Of Japanese Practices Outside Japan,1,50,85
1990-1994,1990,1994,Number And Type Of Suppliers,1,50,85
1990-1994,1990,1994,Length And Stability Of Relationships,1,50,85
1990-1994,1990,1994,Role In Product Development,1,50,85
1990-1994,1990,1994,Pricing Practices,1,50,85
1990-1994,1990,1994,Quality Management,1,50,85
1990-1994,1990,1994,Information Exchanges And Suggestions,1,50,85
1990-1994,1990,1994,Competitiveness Issue,1,50,85
1995-1999,1995,1999,Firm Performance,7,50,106
1995-1999,1995,1999,Strategy Absence,2,50,106
1995-1999,1995,1999,Asset Specificity,2,50,106
1995-1999,1995,1999,CEO Duality,2,50,106
1995-1999,1995,1999,Subsidiary Initiative,2,50,106
1995-1999,1995,1999,Strategic Consensus,2,50,106
1995-1999,1995,1999,Sustainable Competitive Advantage,2,50,106
1995-1999,1995,1999,Rigidities In Acquiring Vs. Shedding Resources,1,50,106
1995-1999,1995,1999,Diversification As A Means To Leverage Resources,1,50,106
1995-1999,1995,1999,Heterogeneous Resource Endowments Among Firms,1,50,106
1995-1999,1995,1999,Strategic Alliances In New Product Development,1,50,106
1995-1999,1995,1999,Temporal Evolution Of Product Innovativeness,1,50,106
1995-1999,1995,1999,Competence Development,1,50,106
1995-1999,1995,1999,Superior Firm Performance,1,50,106
1995-1999,1995,1999,Product Innovativeness,1,50,106
1995-1999,1995,1999,Institutional And Cultural Differences At The National Level Affecting Strategic Management,1,50,106
1995-1999,1995,1999,Governance Structure For Leveraging Resources,1,50,106
1995-1999,1995,1999,Differences In Business Strategy Patterns Between Managers In Japan And The U.S.,1,50,106
1995-1999,1995,1999,Role Of Government In Establishing An Environment Conducive To Industrial Innovation,1,50,106
1995-1999,1995,1999,Differences In Strategic Action Generation Structures Between U.S. And Japanese Firms,1,50,106
1995-1999,1995,1999,Differences In Approaches To Inventory Management And Quality Management Between U.S. And Japanese Firms,1,50,106
1995-1999,1995,1999,Differences In Strategic Level Perceptions And Practices Between U.S. And Japanese Firms,1,50,106
1995-1999,1995,1999,Strategic Change,1,50,106
1995-1999,1995,1999,Environmental-Driven Organizational Change,1,50,106
1995-1999,1995,1999,Diversification-Driven Organizational Change,1,50,106
1995-1999,1995,1999,Information Interpretation In Organizations,1,50,106
1995-1999,1995,1999,CEO Pay Raises,1,50,106
1995-1999,1995,1999,Ownership Structure,1,50,106
1995-1999,1995,1999,New Venture Performance,1,50,106
1995-1999,1995,1999,Use Of Cooperative Arrangements In New Ventures,1,50,106
1995-1999,1995,1999,Decline In Business-Funded Basic Research,1,50,106
1995-1999,1995,1999,Organizing Principles Underlying Strategy Approaches In U.S. And Japanese Firms,1,50,106
1995-1999,1995,1999,Government Support Of Applied Research,1,50,106
1995-1999,1995,1999,Configuration Of Managerial And Structural Characteristics,1,50,106
1995-1999,1995,1999,Differences In Emphases And Patterns In Generic Competitive Methods Between U.S. And Japanese Managers,1,50,106
1995-1999,1995,1999,Complex Questions About Intellectual Property Rights,1,50,106
1995-1999,1995,1999,Importance Of University Research In Pharmaceutical Development,1,50,106
1995-1999,1995,1999,Influence Of Public 'Technology Policies' On Industry Evolution,1,50,106
1995-1999,1995,1999,Survival And Adaptation Of Small Firms,1,50,106
1995-1999,1995,1999,Impact Of Technology Policy On Business,1,50,106
1995-1999,1995,1999,Business Participation In Technology Policy Deliberations,1,50,106
1995-1999,1995,1999,Dependence Of Industries On Patent Protection,1,50,106
1995-1999,1995,1999,Role Of Government Funding In Basic Research Supporting High-Tech Industries,1,50,106
1995-1999,1995,1999,Globalization Process Of Mncs,1,50,106
1995-1999,1995,1999,Strategic Objectives Shift,1,50,106
1995-1999,1995,1999,Functional Development Stages,1,50,106
1995-1999,1995,1999,Interfunctional Development Patterns,1,50,106
1995-1999,1995,1999,Corporate Growth And Diversification,1,50,106
1995-1999,1995,1999,Post-Buyout Growth,1,50,106
1995-1999,1995,1999,Managerial Activities In Small Firms,1,50,106
2000-2004,2000,2004,Firm Performance,6,50,127
2000-2004,2000,2004,Causal Ambiguity,2,50,127
2000-2004,2000,2004,Sustained Superior Performance,2,50,127
2000-2004,2000,2004,Strategic Change,2,50,127
2000-2004,2000,2004,Strategic Decision Making,2,50,127
2000-2004,2000,2004,CEO Succession,2,50,127
2000-2004,2000,2004,IJV Survival,1,50,127
2000-2004,2000,2004,Competitive Interaction Groups,1,50,127
2000-2004,2000,2004,Performance Variation Within Strategy Types,1,50,127
2000-2004,2000,2004,Ownership Control Structure,1,50,127
2000-2004,2000,2004,Sales Growth And Firm Performance,1,50,127
2000-2004,2000,2004,Governance Conditions On Sales Growth,1,50,127
2000-2004,2000,2004,Effective Integration Between Marketing And General Management,1,50,127
2000-2004,2000,2004,Alignment Of TPC Systems,1,50,127
2000-2004,2000,2004,Management Control Imbalance,1,50,127
2000-2004,2000,2004,Management Heterogeneity,1,50,127
2000-2004,2000,2004,Voluntary Disclosure Of Qualitative Information In R&D Project Announcements,1,50,127
2000-2004,2000,2004,Agent Tenure,1,50,127
2000-2004,2000,2004,Impact Of Qualitative Information On Stock Market Valuation,1,50,127
2000-2004,2000,2004,Suboptimal Behavior In Learning Alliances,1,50,127
2000-2004,2000,2004,Knowledge Relatedness,1,50,127
2000-2004,2000,2004,Alliance Learning Dynamics,1,50,127
2000-2004,2000,2004,Private And Common Benefits,1,50,127
2000-2004,2000,2004,Relative Scope,1,50,127
2000-2004,2000,2004,Firm Internationalization,1,50,127
2000-2004,2000,2004,CEO International Experience,1,50,127
2000-2004,2000,2004,CEO Tenure,1,50,127
2000-2004,2000,2004,IJV Learning,1,50,127
2000-2004,2000,2004,Corporate Financial Performance,1,50,127
2000-2004,2000,2004,Adoption Of Work-Life Programs,1,50,127
2000-2004,2000,2004,Constraints On Firm Change,1,50,127
2000-2004,2000,2004,Technological Evolution And Market Development,1,50,127
2000-2004,2000,2004,Agent Monitoring,1,50,127
2000-2004,2000,2004,Firm Differences In Entry And Performance,1,50,127
2000-2004,2000,2004,Product Diversification And Firm Performance,1,50,127
2000-2004,2000,2004,International Diversification And Firm Performance,1,50,127
2000-2004,2000,2004,Interaction Of Product And International Diversity On Firm Performance,1,50,127
2000-2004,2000,2004,Management Of Highly Diversified Firms,1,50,127
2000-2004,2000,2004,Design Of Joint Ventures,1,50,127
2000-2004,2000,2004,Early Failure Of Joint Ventures,1,50,127
2000-2004,2000,2004,Prior Performance,1,50,127
2000-2004,2000,2004,Incumbent CEO Vs. Board Power,1,50,127
2000-2004,2000,2004,Succession Event Process,1,50,127
2000-2004,2000,2004,Successor Characteristics,1,50,127
2000-2004,2000,2004,Capability Learning,1,50,127
2000-2004,2000,2004,Overt Learning,1,50,127
2000-2004,2000,2004,Aspiration Levels,1,50,127
2000-2004,2000,2004,Re-Ignition Of Learning,1,50,127
2000-2004,2000,2004,Management Of Foreign Subsidiaries,1,50,127
2000-2004,2000,2004,Impact Of Work-Life Programs On Firm Productivity,1,50,127
2005-2009,2005,2009,Firm Performance,5,50,99
2005-2009,2005,2009,Performance,2,50,99
2005-2009,2005,2009,Corporate Social Performance (CSP),2,50,99
2005-2009,2005,2009,Financial Performance,2,50,99
2005-2009,2005,2009,Management And Governance Of Resource Deployments,1,50,99
2005-2009,2005,2009,Competitive Performance Undermined By Knowledge Utilization,1,50,99
2005-2009,2005,2009,Ownership Structure'S Effect On Compensation Strategy,1,50,99
2005-2009,2005,2009,Research Productivity Norms Across Disciplines,1,50,99
2005-2009,2005,2009,History Of Resource Deployments,1,50,99
2005-2009,2005,2009,Longitudinal Research Outcomes For Strategy Faculty,1,50,99
2005-2009,2005,2009,Influence Of Merit-Based Vs. Non-Merit Factors On Research Outcomes,1,50,99
2005-2009,2005,2009,Impact Of Particularism And Universalism On Research Outcomes,1,50,99
2005-2009,2005,2009,Ethics Codes Influence On Financial Executives' Decisions,1,50,99
2005-2009,2005,2009,Pressure From Stakeholders On Ethics Code Use,1,50,99
2005-2009,2005,2009,Value Creation And Appropriation,1,50,99
2005-2009,2005,2009,Knowledge Utilization In Sales Proposals,1,50,99
2005-2009,2005,2009,Measurement Error In Strategic Management Research,1,50,99
2005-2009,2005,2009,Transaction Costs Reduction,1,50,99
2005-2009,2005,2009,Decision Speed In New Ventures,1,50,99
2005-2009,2005,2009,Managerial Influence On Firm Behavior,1,50,99
2005-2009,2005,2009,Strategic Decision-Making Processes,1,50,99
2005-2009,2005,2009,Capability Development,1,50,99
2005-2009,2005,2009,Organizational Responsiveness,1,50,99
2005-2009,2005,2009,Managerial Foresight,1,50,99
2005-2009,2005,2009,Rent Appropriation,1,50,99
2005-2009,2005,2009,Insider Trading,1,50,99
2005-2009,2005,2009,Breakthrough Patents,1,50,99
2005-2009,2005,2009,Information Asymmetries,1,50,99
2005-2009,2005,2009,Journal Influence,1,50,99
2005-2009,2005,2009,Corporate Performance,1,50,99
2005-2009,2005,2009,Training On Ethics Code Application,1,50,99
2005-2009,2005,2009,Diversification,1,50,99
2005-2009,2005,2009,Cross-Business Knowledge Synergies,1,50,99
2005-2009,2005,2009,Foreign-Based Competition,1,50,99
2005-2009,2005,2009,Corporate Diversification Strategy,1,50,99
2005-2009,2005,2009,Sustainability Practices Adoption,1,50,99
2005-2009,2005,2009,Stakeholder Influence Strategies,1,50,99
2005-2009,2005,2009,Collaborative Benefits From R&D Alliances,1,50,99
2005-2009,2005,2009,Depreciation Of Knowledge Over Time,1,50,99
2005-2009,2005,2009,Prior Alliance Experience Impact On Firm Benefits,1,50,99
2005-2009,2005,2009,Impact Of Alliance Characteristics On Benefits From Experience,1,50,99
2005-2009,2005,2009,Firm Financial Performance,1,50,99
2005-2009,2005,2009,Human-Capital Deployment And Development Strategies,1,50,99
2005-2009,2005,2009,Service And Geographical Diversification Strategies,1,50,99
2005-2009,2005,2009,Perceived Benefits Of Ethics Codes,1,50,99
2005-2009,2005,2009,Client-Specific Capabilities,1,50,99
2005-2009,2005,2009,Project Management Capabilities,1,50,99
2005-2009,2005,2009,Firm Performance Differences,1,50,99
2005-2009,2005,2009,Investor Valuation Of Ipos,1,50,99
2005-2009,2005,2009,Task Situation Influence On Knowledge Value,1,50,99
2010-2014,2010,2014,Firm Performance,12,50,149
2010-2014,2010,2014,Strategic Change,3,50,149
2010-2014,2010,2014,Innovation Performance,2,50,149
2010-2014,2010,2014,Competitive Advantage,2,50,149
2010-2014,2010,2014,Board Independence,2,50,149
2010-2014,2010,2014,CEO Compensation,2,50,149
2010-2014,2010,2014,Firm'S Entrepreneurial Orientation,1,50,149
2010-2014,2010,2014,Pay Dispersion Within Top Management Teams (Tmts),1,50,149
2010-2014,2010,2014,Long-Term Firm Survival,1,50,149
2010-2014,2010,2014,Stakeholder Utility Functions,1,50,149
2010-2014,2010,2014,Financial Performance,1,50,149
2010-2014,2010,2014,Corporate Responsibility Performance (CRP),1,50,149
2010-2014,2010,2014,Intangible Resources,1,50,149
2010-2014,2010,2014,Capability Strengths And Weaknesses,1,50,149
2010-2014,2010,2014,Frequency Of R&D Investments,1,50,149
2010-2014,2010,2014,Managing For Stakeholders,1,50,149
2010-2014,2010,2014,Rank Friction,1,50,149
2010-2014,2010,2014,Changing Complementarity Relationships Among Software Product Markets,1,50,149
2010-2014,2010,2014,Key Employee Mobility,1,50,149
2010-2014,2010,2014,Technological Capabilities,1,50,149
2010-2014,2010,2014,Firm Response To Ratings,1,50,149
2010-2014,2010,2014,Information Asymmetry,1,50,149
2010-2014,2010,2014,FDI Spillovers,1,50,149
2010-2014,2010,2014,Diversity Of FDI Country Origins,1,50,149
2010-2014,2010,2014,Productivity Of Domestic Firms,1,50,149
2010-2014,2010,2014,Persistence In Firm Profitability,1,50,149
2010-2014,2010,2014,Knowledge Sharing Across Geographies,1,50,149
2010-2014,2010,2014,Network Density Effect On Innovation,1,50,149
2010-2014,2010,2014,Sales And Distribution (S&D) Performance,1,50,149
2010-2014,2010,2014,Relative Performance,1,50,149
2010-2014,2010,2014,CEO Power,1,50,149
2010-2014,2010,2014,Performance Implications Of Resource And Capability Configurations,1,50,149
2010-2014,2010,2014,Dynamic Changes In Competitive Advantage,1,50,149
2010-2014,2010,2014,Hypercompetition In The Software Industry,1,50,149
2010-2014,2010,2014,Board Capital,1,50,149
2010-2014,2010,2014,Temporary Advantages Through Dynamic Capabilities,1,50,149
2010-2014,2010,2014,Post-Ipo Acquisition Returns,1,50,149
2010-2014,2010,2014,IPO Success,1,50,149
2010-2014,2010,2014,Impact Of CEO Personality On Firm'S Strategic Choices,1,50,149
2010-2014,2010,2014,Competitive Advantage Dilution,1,50,149
2010-2014,2010,2014,Loss Of Advantage Through Rival'S Increased Exposure,1,50,149
2010-2014,2010,2014,Strategic Decision Speed,1,50,149
2010-2014,2010,2014,Firm Financial Performance,1,50,149
2010-2014,2010,2014,TMT Polychronicity,1,50,149
2010-2014,2010,2014,Strategic Decision Comprehensiveness,1,50,149
2010-2014,2010,2014,Sustainable Competitive Advantage,1,50,149
2010-2014,2010,2014,Resource Configuration,1,50,149
2010-2014,2010,2014,Sustainable Superior Performance,1,50,149
2010-2014,2010,2014,Dynamic Capability,1,50,149
2010-2014,2010,2014,Boards Appoint Interim Ceos Under Duress,1,50,149
2015-2019,2015,2019,Firm Performance,11,50,159
2015-2019,2015,2019,Pay Dispersion,3,50,159
2015-2019,2015,2019,Corporate Social Responsibility (CSR),2,50,159
2015-2019,2015,2019,Strategic Change,2,50,159
2015-2019,2015,2019,CEO Compensation,2,50,159
2015-2019,2015,2019,Strategic Alliance Formation,2,50,159
2015-2019,2015,2019,Firm Performance Variation,2,50,159
2015-2019,2015,2019,Employee Mobility,2,50,159
2015-2019,2015,2019,Managers' Personal Political Orientation,1,50,159
2015-2019,2015,2019,Alliance Success,1,50,159
2015-2019,2015,2019,Corporate Tax Avoidance,1,50,159
2015-2019,2015,2019,Use Of Codified Knowledge In Alliance Phases,1,50,159
2015-2019,2015,2019,Executive Succession,1,50,159
2015-2019,2015,2019,Corporate Social Performance (CSP) Influence On Corporate Financial Performance (CFP),1,50,159
2015-2019,2015,2019,Competitive-Cooperative Modes,1,50,159
2015-2019,2015,2019,Post-Ceo Succession Performance,1,50,159
2015-2019,2015,2019,Top Executive Pay,1,50,159
2015-2019,2015,2019,Temporal Changes In Ownership Distribution,1,50,159
2015-2019,2015,2019,CEO Succession In Family Firms,1,50,159
2015-2019,2015,2019,Innovation Generation Based On External Knowledge,1,50,159
2015-2019,2015,2019,Knowledge Sharing In Organizations,1,50,159
2015-2019,2015,2019,Firms' Public Policymaking Influence,1,50,159
2015-2019,2015,2019,Firm Size And Public Policymaking Influence,1,50,159
2015-2019,2015,2019,Industry Competition And Public Policymaking Influence,1,50,159
2015-2019,2015,2019,Country Political Structure And Public Policymaking Influence,1,50,159
2015-2019,2015,2019,Entrepreneurial Rents,1,50,159
2015-2019,2015,2019,Market Disequilibrium,1,50,159
2015-2019,2015,2019,Structural Rents,1,50,159
2015-2019,2015,2019,Ownership Effect On Firm Performance,1,50,159
2015-2019,2015,2019,Analyst Stock Recommendations,1,50,159
2015-2019,2015,2019,Incremental Value Creation And Appropriation,1,50,159
2015-2019,2015,2019,Transition From Family To Professional Management,1,50,159
2015-2019,2015,2019,Value Creation-Appropriation (VCA) Dynamics,1,50,159
2015-2019,2015,2019,Entrepreneurial Orientation (EO),1,50,159
2015-2019,2015,2019,Regional Differences In Ownership Effects,1,50,159
2015-2019,2015,2019,Stakeholder Value Appropriation,1,50,159
2015-2019,2015,2019,Initial Compensation Of New Ceos In Turnaround Situations,1,50,159
2015-2019,2015,2019,Turnaround Strategies Implementation,1,50,159
2015-2019,2015,2019,Nomological Error In EO Literature,1,50,159
2015-2019,2015,2019,Firm Future Returns,1,50,159
2015-2019,2015,2019,Politically Connected Boards,1,50,159
2015-2019,2015,2019,Exploitative Product Innovation,1,50,159
2015-2019,2015,2019,Exploratory Product Innovation,1,50,159
2015-2019,2015,2019,Industrial Clusters' Influence On Innovation,1,50,159
2015-2019,2015,2019,Structuring Of Interactions Within Organizational Forums,1,50,159
2015-2019,2015,2019,Access To Peer Support,1,50,159
2015-2019,2015,2019,Project Closeness To Core Business,1,50,159
2015-2019,2015,2019,Motivating Knowledge Workers,1,50,159
2015-2019,2015,2019,Decision Rights Allocation,1,50,159
2015-2019,2015,2019,Post-Succession Strategic Change,1,50,159
