Interval,Start Year,End Year,Author ID,Author Name,Given Name,Family Name,Papers Authored,Total Unique Authors in Interval,Total Papers in Interval
2005-2009,2005,2009,david_j_ketchen_jr,David J. Ketchen Jr,,,1,27,99
2005-2009,2005,2009,stanley_f_slater,Stanley F. Slater,,,1,27,99
2005-2009,2005,2009,brian_k_boyd,Brian K. Boyd,,,1,27,99
2005-2009,2005,2009,steve_gove,Steve Gove,,,1,27,99
2005-2009,2005,2009,michael_a_hitt,Michael A. Hitt,,,1,27,99
2005-2009,2005,2009,maw-der_foo,Maw-Der Foo,,,1,27,99
2005-2009,2005,2009,hock-peng_sin,Hock-Peng Sin,,,1,27,99
2005-2009,2005,2009,lee-pen_yiong,Lee-Pen Yiong,,,1,27,99
2005-2009,2005,2009,harry_g_barkema,Harry G. Barkema,,,1,27,99
2005-2009,2005,2009,oleg_shvyrkov,Oleg Shvyrkov,,,1,27,99
2005-2009,2005,2009,sridhar_p_nerur,Sridhar P. Nerur,,,1,27,99
2005-2009,2005,2009,abdul_a_rasheed,Abdul A. Rasheed,,,1,27,99
2005-2009,2005,2009,vivek_natarajan,Vivek Natarajan,,,1,27,99
2005-2009,2005,2009,aija_leiponen,Aija Leiponen,,,1,27,99
2005-2009,2005,2009,stephen_brammer,Stephen Brammer,,,1,27,99
2005-2009,2005,2009,andrew_millington,Andrew Millington,,,1,27,99
2005-2009,2005,2009,vilmos_f_misangyi,Vilmos F. Misangyi,,,1,27,99
2005-2009,2005,2009,zheng_jane_zhao,Zheng Jane Zhao,,,1,27,99
2005-2009,2005,2009,jaideep_anand,Jaideep Anand,,,1,27,99
2005-2009,2005,2009,klaus_e_meyer,Klaus E. Meyer,,,1,27,99
2005-2009,2005,2009,mike_wright,Mike Wright,,,1,27,99
2005-2009,2005,2009,sarika_pruthi,Sarika Pruthi,,,1,27,99
2005-2009,2005,2009,edward_levitas,Edward Levitas,,,1,27,99
2005-2009,2005,2009,m_ann_mcfadyen,M. Ann McFadyen,,,1,27,99
2010-2014,2010,2014,judith_l_walls,Judith L. Walls,,,2,31,149
2010-2014,2010,2014,gary_a_ballinger,Gary A. Ballinger,,,1,31,149
2010-2014,2010,2014,jeremy_j_marcel,Jeremy J. Marcel,,,1,31,149
2010-2014,2010,2014,abraham_carmeli,Abraham Carmeli,,,1,31,149
2010-2014,2010,2014,gideon_d_markman,Gideon D. Markman,,,1,31,149
2010-2014,2010,2014,anna_shaojie_cui,Anna Shaojie Cui,,,1,31,149
2010-2014,2010,2014,roger_j_calantone,Roger J. Calantone,,,1,31,149
2010-2014,2010,2014,david_a_griffith,David A. Griffith,,,1,31,149
2010-2014,2010,2014,pascual_berrone,Pascual Berrone,,,1,31,149
2010-2014,2010,2014,phillip_h_phan,Phillip H. Phan,,,1,31,149
2010-2014,2010,2014,haemin_dennis_park,Haemin Dennis Park,,,1,31,149
2010-2014,2010,2014,h_kevin_steensma,H. Kevin Steensma,,,1,31,149
2010-2014,2010,2014,maria_isabella_leone,Maria Isabella Leone,,,1,31,149
2010-2014,2010,2014,toke_reichstein,Toke Reichstein,,,1,31,149
2010-2014,2010,2014,sidney_g_winter,Sidney G. Winter,,,1,31,149
2010-2014,2010,2014,michael_g_jacobides,Michael G. Jacobides,,,1,31,149
2010-2014,2010,2014,stefan_m_kassberger,Stefan M. Kassberger,,,1,31,149
2010-2014,2010,2014,donal_crilly,Donal Crilly,,,1,31,149
2010-2014,2010,2014,pamela_sloan,Pamela Sloan,,,1,31,149
2010-2014,2010,2014,yoshio_yanadori,YOSHIO YANADORI,,,1,31,149
2010-2014,2010,2014,victor_cui,VICTOR CUI,,,1,31,149
2010-2014,2010,2014,jason_d_shaw,Jason D. Shaw,,,1,31,149
2010-2014,2010,2014,tae-youn_park,Tae-Youn Park,,,1,31,149
2010-2014,2010,2014,eugene_kim,Eugene Kim,,,1,31,149
2010-2014,2010,2014,ben_w_lewis,Ben W. Lewis,,,1,31,149
2010-2014,2010,2014,glen_w_s_dowell,Glen W. S. Dowell,,,1,31,149
2010-2014,2010,2014,james_h_love,JAMES H. LOVE,,,1,31,149
2010-2014,2010,2014,stephen_roper,STEPHEN ROPER,,,1,31,149
2010-2014,2010,2014,priit_vahter,PRIIT VAHTER,,,1,31,149
2010-2014,2010,2014,nicolai_j_foss,Nicolai J. Foss,,,1,31,149
2010-2014,2010,2014,niklas_l_hallberg,Niklas L. Hallberg,,,1,31,149
2015-2019,2015,2019,jay_b_barney,Jay B. Barney,,,2,64,159
2015-2019,2015,2019,roberto_garcia-castro,Roberto Garcia-Castro,,,1,64,159
2015-2019,2015,2019,claude_francoeur,Claude Francoeur,,,1,64,159
2015-2019,2015,2019,steven_j_kahl,Steven J. Kahl,,,1,64,159
2015-2019,2015,2019,stine_grodal,Stine Grodal,,,1,64,159
2015-2019,2015,2019,thomas_greckhamer,Thomas Greckhamer,,,1,64,159
2015-2019,2015,2019,juan_alcácer,Juan Alcácer,,,1,64,159
2015-2019,2015,2019,minyuan_zhao,Minyuan Zhao,,,1,64,159
2015-2019,2015,2019,u_david_park,U. David Park,,,1,64,159
2015-2019,2015,2019,abhishek_borah,Abhishek Borah,,,1,64,159
2015-2019,2015,2019,suresh_kotha,Suresh Kotha,,,1,64,159
2015-2019,2015,2019,mei_li,Mei Li,,,1,64,159
2015-2019,2015,2019,ying_lin,Ying Lin,,,1,64,159
2015-2019,2015,2019,shuai_huang,Shuai Huang,,,1,64,159
2015-2019,2015,2019,craig_crossland,Craig Crossland,,,1,64,159
2015-2019,2015,2019,richard_f_j_haans,Richard F. J. Haans,,,1,64,159
2015-2019,2015,2019,constant_pieters,Constant Pieters,,,1,64,159
2015-2019,2015,2019,zi-lin_he,Zi-Lin He,,,1,64,159
2015-2019,2015,2019,abdul_a_rasheed,Abdul A. Rasheed,,,1,64,159
2015-2019,2015,2019,sridhar_nerur,Sridhar Nerur,,,1,64,159
2015-2019,2015,2019,alankrita_pandey,Alankrita Pandey,,,1,64,159
2015-2019,2015,2019,francisco_brahm,Francisco Brahm,,,1,64,159
2015-2019,2015,2019,jorge_tarziján,Jorge Tarziján,,,1,64,159
2015-2019,2015,2019,douglas_j_miller,DOUGLAS J. MILLER,,,1,64,159
2015-2019,2015,2019,hsiao-shan_yang,HSIAO-SHAN YANG,,,1,64,159
2015-2019,2015,2019,richard_whittington,Richard Whittington,,,1,64,159
2015-2019,2015,2019,basak_yakis-douglas,Basak Yakis-Douglas,,,1,64,159
2015-2019,2015,2019,kwangwon_ahn,Kwangwon Ahn,,,1,64,159
2015-2019,2015,2019,shad_s_morris,Shad S. Morris,,,1,64,159
2015-2019,2015,2019,sharon_a_alvarez,Sharon A. Alvarez,,,1,64,159
2015-2019,2015,2019,janice_c_molloy,Janice C. Molloy,,,1,64,159
2015-2019,2015,2019,nicolai_j_foss,Nicolai J. Foss,,,1,64,159
2015-2019,2015,2019,jacob_lyngsie,Jacob Lyngsie,,,1,64,159
2015-2019,2015,2019,m_k_chin,M. K. Chin,,,1,64,159
2015-2019,2015,2019,matthew_semadeni,Matthew Semadeni,,,1,64,159
2015-2019,2015,2019,adam_l_steinbach,Adam L. Steinbach,,,1,64,159
2015-2019,2015,2019,tim_r_holcomb,Tim R. Holcomb,,,1,64,159
2015-2019,2015,2019,r_michael_holmes_jr,R. Michael Holmes Jr.,,,1,64,159
2015-2019,2015,2019,cynthia_e_devers,Cynthia E. Devers,,,1,64,159
2015-2019,2015,2019,albert_a_cannella_jr,"Albert A. Cannella, Jr.",,,1,64,159
2015-2019,2015,2019,markus_fitza,Markus Fitza,,,1,64,159
2015-2019,2015,2019,laszlo_tihanyi,Laszlo Tihanyi,,,1,64,159
2015-2019,2015,2019,han_t_j_smit,Han T. J. Smit,,,1,64,159
2015-2019,2015,2019,lenos_trigeorgis,Lenos Trigeorgis,,,1,64,159
2015-2019,2015,2019,yung-ming_shiu,Yung-Ming Shiu,,,1,64,159
2015-2019,2015,2019,shou-lin_yang,Shou-Lin Yang,,,1,64,159
2015-2019,2015,2019,joon_mahn_lee,Joon Mahn Lee,,,1,64,159
2015-2019,2015,2019,byoung-hyoun_hwang,Byoung-Hyoun Hwang,,,1,64,159
2015-2019,2015,2019,hailiang_chen,Hailiang Chen,,,1,64,159
2015-2019,2015,2019,liwei_shan,Liwei Shan,,,1,64,159
2015-2019,2015,2019,shihe_fu,Shihe Fu,,,1,64,159
2015-2019,2015,2019,lu_zheng,Lu Zheng,,,1,64,159
2015-2019,2015,2019,elena_kulchina,Elena Kulchina,,,1,64,159
2015-2019,2015,2019,aaron_d_hill,Aaron D. Hill,,,1,64,159
2015-2019,2015,2019,federico_aime,Federico Aime,,,1,64,159
2015-2019,2015,2019,jason_w_ridge,Jason W. Ridge,,,1,64,159
2015-2019,2015,2019,jiuchang_wei,Jiuchang Wei,,,1,64,159
2015-2019,2015,2019,zhe_ouyang,Zhe Ouyang,,,1,64,159
2015-2019,2015,2019,haipeng_(allan)_chen,Haipeng (Allan) Chen,,,1,64,159
2015-2019,2015,2019,julian_f_kölbel,Julian F. Kölbel,,,1,64,159
2015-2019,2015,2019,timo_busch,Timo Busch,,,1,64,159
2015-2019,2015,2019,leonhardt_m_jancso,Leonhardt M. Jancso,,,1,64,159
2015-2019,2015,2019,tyson_b_mackey,Tyson B. Mackey,,,1,64,159
2015-2019,2015,2019,jeffrey_p_dotson,Jeffrey P. Dotson,,,1,64,159
