Interval,Start Year,End Year,Topic Number,Topic Paper Count,Topic Coherence,Representative Paper ID,Representative Paper Title,Total Topics in Interval,Total Papers in Interval
2005-2009,2005,2009,1,8,0.5189,2008_3370,FACTORS INFLUENCING PARTNER SELECTION IN STRATEGIC ALLIANCES: THE MODERATING ROLE OF ALLIANCE CONTEXT,10,99
2005-2009,2005,2009,2,5,0.4687,2009_2679,THE USE OF LIMITED DEPENDENT VARIABLE TECHNIQUES IN STRATEGY RESEARCH: ISSUES AND METHODS,10,99
2005-2009,2005,2009,3,6,1.0,2009_2343,,10,99
2005-2009,2005,2009,4,12,0.4057,2005_3008,FOREIGN-BASED COMPETITION AND CORPORATE DIVERSIFICATION STRATEGY,10,99
2005-2009,2005,2009,5,15,0.4867,2007_1560,DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OUTSOURCING ALLIANCES,10,99
2005-2009,2005,2009,6,21,0.4229,2008_3799,STRATEGIC RESOURCES AND PERFORMANCE: A META-ANALYSIS,10,99
2005-2009,2005,2009,7,12,0.5067,2005_59,STAKEHOLDER MANAGEMENT AS A PREDICTOR OF CEO COMPENSATION: MAIN EFFECTS AND INTERACTIONS WITH FINANCIAL PERFORMANCE,10,99
2005-2009,2005,2009,8,3,0.5008,2005_276,THE INFLUENCE OF MANAGEMENT JOURNALS IN THE 1980s AND 1990s,10,99
2005-2009,2005,2009,9,9,0.4282,2009_1132,THE RELATIONSHIP BETWEEN CORPORATE SOCIAL RESPONSIBILITY AND SHAREHOLDER VALUE: AN EMPIRICAL TEST OF THE RISK MANAGEMENT HYPOTHESIS,10,99
2005-2009,2005,2009,10,8,0.3549,2008_4025,THE ADOPTION OF RADICAL MANUFACTURING TECHNOLOGIES AND FIRM SURVIVAL,10,99
2010-2014,2010,2014,1,11,0.4123,2010_3213,HOW FIRMS RESPOND TO BEING RATED,10,149
2010-2014,2010,2014,2,40,1.0,2010_2583,,10,149
2010-2014,2010,2014,3,22,0.4871,2010_1391,THE USE OF AN INTERIM CEO DURING SUCCESSION EPISODES AND FIRM PERFORMANCE,10,149
2010-2014,2010,2014,4,19,0.4242,2014_583,CHIEF STRATEGY OFFICERS: CONTINGENCY ANALYSIS OF THEIR PRESENCE IN TOP MANAGEMENT TEAMS,10,149
2010-2014,2010,2014,5,11,0.384,2013_2996,"LEADERSHIP SUCCESSION AND FIRM PERFORMANCE IN AN EMERGING ECONOMY: SUCCESSOR ORIGIN, RELATIONAL EMBEDDEDNESS, AND LEGITIMACY",10,149
2010-2014,2010,2014,6,12,0.3996,2014_3241,WHAT DOESN’T KILL YOU MAKES YOU STRONGER: THE EVOLUTION OF COMPETITION AND ENTRY-ORDER ADVANTAGES IN ECONOMICALLY TURBULENT CONTEXTS,10,149
2010-2014,2010,2014,7,14,0.3936,2011_3573,Strategic Change and Termination of Interfirm Partnerships,10,149
2010-2014,2010,2014,8,4,0.459,2014_2669,REWARDING VALUE-CREATING IDEAS IN ORGANIZATIONS: THE POWER OF LOW-POWERED INCENTIVES,10,149
2010-2014,2010,2014,9,10,0.4446,2013_2475,A COMPETITION-BASED EXPLANATION OF COLLABORATIVE INVENTION WITHIN THE FIRM,10,149
2010-2014,2010,2014,10,6,0.4155,2013_648,"A RESOURCE-BASED PERSPECTIVE ON HUMAN CAPITAL LOSSES, HRM INVESTMENTS, AND ORGANIZATIONAL PERFORMANCE",10,149
2015-2019,2015,2019,1,29,0.3757,2016_2086,THE IMPACT OF CONTEXT AND MODEL CHOICE ON THE DETERMINANTS OF STRATEGIC ALLIANCE FORMATION: EVIDENCE FROM A STAGED REPLICATION STUDY,10,159
2015-2019,2015,2019,2,34,1.0,2015_2747,,10,159
2015-2019,2015,2019,3,23,0.4675,2015_3000,THE ROLE OF CEO RELATIVE STANDING IN ACQUISITION BEHAVIOR AND CEO PAY,10,159
2015-2019,2015,2019,4,15,0.4097,2017_1803,DOES ENGAGEMENT IN CORPORATE SOCIAL RESPONSIBILITY PROVIDE STRATEGIC INSURANCE-LIKE EFFECTS?,10,159
2015-2019,2015,2019,5,6,0.4094,2015_2849,THE RIGHT SPEED AND ITS VALUE,10,159
2015-2019,2015,2019,6,8,0.4548,2016_559,SCIENTIFIC APOPHENIA IN STRATEGIC MANAGEMENT RESEARCH: SIGNIFICANCE TESTS & MISTAKEN INFERENCE,10,159
2015-2019,2015,2019,7,7,0.4078,2016_2108,INDEPENDENT DIRECTORS’ DISSENT ON BOARDS: EVIDENCE FROM LISTED COMPANIES IN CHINA,10,159
2015-2019,2015,2019,8,11,0.3847,2015_2908,STRATEGY TOOLS-IN-USE: A FRAMEWORK FOR UNDERSTANDING “TECHNOLOGIES OF RATIONALITY” IN PRACTICE,10,159
2015-2019,2015,2019,9,5,0.4132,2015_2350,HOW MUCH DOES OWNER TYPE MATTER FOR FIRM PERFORMANCE? MANUFACTURING FIRMS IN CHINA 1998–2007,10,159
2015-2019,2015,2019,10,21,0.3952,2015_629,STRUCTURAL INTERDEPENDENCE WITHIN TOP MANAGEMENT TEAMS: A KEY MODERATOR OF UPPER ECHELONS PREDICTIONS,10,159
2020-2024,2020,2024,1,2,0.4749,2022_4235,Revealing the revealed preferences of public firm CEOs and top executives: A new database from credit card spending,5,16
2020-2024,2020,2024,2,10,1.0,2020_2359,,5,16
2020-2024,2020,2024,3,2,0.362,2023_4194,The firm as an architect of polycentric governance: Building open institutional infrastructure in emerging markets,5,16
2020-2024,2020,2024,4,1,1.0,2022_4387,Communication frames and beneficiary engagement in corporate social initiatives: Evidence from a randomized controlled trial in France,5,16
2020-2024,2020,2024,5,1,1.0,2020_4286,Changes in persistence of performance over time,5,16
